Index Name,Date,Open,High,Low,Close
NIFTY SME EMERGE,23-Jul-18,-,-,-,1633.26
NIFTY SME EMERGE,20-Jul-18,-,-,-,1669.91
NIFTY SME EMERGE,19-Jul-18,-,-,-,1671.09
NIFTY SME EMERGE,18-Jul-18,-,-,-,1681.36
NIFTY SME EMERGE,17-Jul-18,-,-,-,1690.72
NIFTY SME EMERGE,16-Jul-18,-,-,-,1688.24
NIFTY SME EMERGE,13-Jul-18,-,-,-,1700.79
NIFTY SME EMERGE,12-Jul-18,-,-,-,1708.62
NIFTY SME EMERGE,11-Jul-18,-,-,-,1717.99
NIFTY SME EMERGE,10-Jul-18,-,-,-,1726.53
NIFTY SME EMERGE,09-Jul-18,-,-,-,1698.88
NIFTY SME EMERGE,06-Jul-18,-,-,-,1669.39
NIFTY SME EMERGE,05-Jul-18,-,-,-,1667.84
NIFTY SME EMERGE,04-Jul-18,-,-,-,1667.47
NIFTY SME EMERGE,03-Jul-18,-,-,-,1668.06
NIFTY SME EMERGE,02-Jul-18,-,-,-,1667.97
NIFTY SME EMERGE,29-Jun-18,-,-,-,1692.78
NIFTY SME EMERGE,28-Jun-18,-,-,-,1686.79
NIFTY SME EMERGE,27-Jun-18,-,-,-,1694.63
NIFTY SME EMERGE,26-Jun-18,-,-,-,1708.54
NIFTY SME EMERGE,25-Jun-18,-,-,-,1704.57
NIFTY SME EMERGE,22-Jun-18,-,-,-,1694.8
NIFTY SME EMERGE,21-Jun-18,-,-,-,1690.34
NIFTY SME EMERGE,20-Jun-18,-,-,-,1692.17
NIFTY SME EMERGE,19-Jun-18,-,-,-,1687.63
NIFTY SME EMERGE,18-Jun-18,-,-,-,1692.7
NIFTY SME EMERGE,15-Jun-18,-,-,-,1685.68
NIFTY SME EMERGE,14-Jun-18,-,-,-,1689.98
NIFTY SME EMERGE,13-Jun-18,-,-,-,1691.45
NIFTY SME EMERGE,12-Jun-18,-,-,-,1687.46
NIFTY SME EMERGE,11-Jun-18,-,-,-,1677.27
NIFTY SME EMERGE,08-Jun-18,-,-,-,1686.01
NIFTY SME EMERGE,07-Jun-18,-,-,-,1676.74
NIFTY SME EMERGE,06-Jun-18,-,-,-,1658.03
NIFTY SME EMERGE,05-Jun-18,-,-,-,1652.69
NIFTY SME EMERGE,04-Jun-18,-,-,-,1678.16
NIFTY SME EMERGE,01-Jun-18,-,-,-,1696.73
NIFTY SME EMERGE,31-May-18,-,-,-,1725.09
NIFTY SME EMERGE,30-May-18,-,-,-,1727.23
NIFTY SME EMERGE,29-May-18,-,-,-,1729.45
NIFTY SME EMERGE,28-May-18,-,-,-,1730.72
NIFTY SME EMERGE,25-May-18,-,-,-,1720.46
NIFTY SME EMERGE,24-May-18,-,-,-,1724.61
NIFTY SME EMERGE,23-May-18,-,-,-,1708.35
NIFTY SME EMERGE,22-May-18,-,-,-,1712.21
NIFTY SME EMERGE,21-May-18,-,-,-,1714.86
NIFTY SME EMERGE,18-May-18,-,-,-,1732.11
NIFTY SME EMERGE,17-May-18,-,-,-,1741.1
NIFTY SME EMERGE,16-May-18,-,-,-,1744.95
NIFTY SME EMERGE,15-May-18,-,-,-,1746.15
NIFTY SME EMERGE,14-May-18,-,-,-,1746.8
NIFTY SME EMERGE,11-May-18,-,-,-,1755.51
NIFTY SME EMERGE,10-May-18,-,-,-,1760.14
NIFTY SME EMERGE,09-May-18,-,-,-,1772.45
NIFTY SME EMERGE,08-May-18,-,-,-,1769.83
NIFTY SME EMERGE,07-May-18,-,-,-,1764.31
NIFTY SME EMERGE,04-May-18,-,-,-,1746.18
NIFTY SME EMERGE,03-May-18,-,-,-,1745.48
NIFTY SME EMERGE,02-May-18,-,-,-,1751.25
NIFTY SME EMERGE,30-Apr-18,-,-,-,1755.01
NIFTY SME EMERGE,27-Apr-18,-,-,-,1753.01
NIFTY SME EMERGE,26-Apr-18,-,-,-,1751.98
NIFTY SME EMERGE,25-Apr-18,-,-,-,1749.32
NIFTY SME EMERGE,24-Apr-18,-,-,-,1757.94
NIFTY SME EMERGE,23-Apr-18,-,-,-,1755.28
NIFTY SME EMERGE,20-Apr-18,-,-,-,1749.24
NIFTY SME EMERGE,19-Apr-18,-,-,-,1742
NIFTY SME EMERGE,18-Apr-18,-,-,-,1725.54
NIFTY SME EMERGE,17-Apr-18,-,-,-,1709.62
NIFTY SME EMERGE,16-Apr-18,-,-,-,1703.37
NIFTY SME EMERGE,13-Apr-18,-,-,-,1701.2
NIFTY SME EMERGE,12-Apr-18,-,-,-,1690.05
NIFTY SME EMERGE,11-Apr-18,-,-,-,1685.96
NIFTY SME EMERGE,10-Apr-18,-,-,-,1691.74
NIFTY SME EMERGE,09-Apr-18,-,-,-,1690.26
NIFTY SME EMERGE,06-Apr-18,-,-,-,1683.69
NIFTY SME EMERGE,05-Apr-18,-,-,-,1687.31
NIFTY SME EMERGE,04-Apr-18,-,-,-,1666.53
NIFTY SME EMERGE,03-Apr-18,-,-,-,1667.28
NIFTY SME EMERGE,02-Apr-18,-,-,-,1656.33
NIFTY SME EMERGE,28-Mar-18,-,-,-,1640.53
NIFTY SME EMERGE,27-Mar-18,-,-,-,1627.31
NIFTY SME EMERGE,26-Mar-18,-,-,-,1604.39
NIFTY SME EMERGE,23-Mar-18,-,-,-,1613.93
NIFTY SME EMERGE,22-Mar-18,-,-,-,1640.75
NIFTY SME EMERGE,21-Mar-18,-,-,-,1640.92
NIFTY SME EMERGE,20-Mar-18,-,-,-,1629.05
NIFTY SME EMERGE,19-Mar-18,-,-,-,1629.69
NIFTY SME EMERGE,16-Mar-18,-,-,-,1646.83
NIFTY SME EMERGE,15-Mar-18,-,-,-,1662.97
NIFTY SME EMERGE,14-Mar-18,-,-,-,1665.01
NIFTY SME EMERGE,13-Mar-18,-,-,-,1667.76
NIFTY SME EMERGE,12-Mar-18,-,-,-,1658.83
NIFTY SME EMERGE,09-Mar-18,-,-,-,1652.96
NIFTY SME EMERGE,08-Mar-18,-,-,-,1656.03
NIFTY SME EMERGE,07-Mar-18,-,-,-,1678.32
NIFTY SME EMERGE,06-Mar-18,-,-,-,1701.49
NIFTY SME EMERGE,05-Mar-18,-,-,-,1707.21
NIFTY SME EMERGE,01-Mar-18,-,-,-,1714.43
NIFTY SME EMERGE,28-Feb-18,-,-,-,1706.69
NIFTY SME EMERGE,27-Feb-18,-,-,-,1710.19
NIFTY SME EMERGE,26-Feb-18,-,-,-,1713.6
NIFTY SME EMERGE,23-Feb-18,-,-,-,1711.58
NIFTY SME EMERGE,22-Feb-18,-,-,-,1698.02
NIFTY SME EMERGE,21-Feb-18,-,-,-,1705.98
NIFTY SME EMERGE,20-Feb-18,-,-,-,1717.66
NIFTY SME EMERGE,19-Feb-18,-,-,-,1720.87
NIFTY SME EMERGE,16-Feb-18,-,-,-,1741.16
NIFTY SME EMERGE,15-Feb-18,-,-,-,1745.76
NIFTY SME EMERGE,14-Feb-18,-,-,-,1754.11
NIFTY SME EMERGE,12-Feb-18,-,-,-,1755.3
NIFTY SME EMERGE,09-Feb-18,-,-,-,1739.83
NIFTY SME EMERGE,08-Feb-18,-,-,-,1723.36
NIFTY SME EMERGE,07-Feb-18,-,-,-,1709.56
NIFTY SME EMERGE,06-Feb-18,-,-,-,1674.15
NIFTY SME EMERGE,05-Feb-18,-,-,-,1723.3
NIFTY SME EMERGE,02-Feb-18,-,-,-,1739.95
NIFTY SME EMERGE,01-Feb-18,-,-,-,1814.2
NIFTY SME EMERGE,31-Jan-18,-,-,-,1816.1
NIFTY SME EMERGE,30-Jan-18,-,-,-,1829.08
NIFTY SME EMERGE,29-Jan-18,-,-,-,1847.17
NIFTY SME EMERGE,25-Jan-18,-,-,-,1857.63
NIFTY SME EMERGE,24-Jan-18,-,-,-,1853.62
NIFTY SME EMERGE,23-Jan-18,-,-,-,1864.79
NIFTY SME EMERGE,22-Jan-18,-,-,-,1852.41
NIFTY SME EMERGE,19-Jan-18,-,-,-,1842.3
NIFTY SME EMERGE,18-Jan-18,-,-,-,1834.75
NIFTY SME EMERGE,17-Jan-18,-,-,-,1849.73
NIFTY SME EMERGE,16-Jan-18,-,-,-,1845.21
NIFTY SME EMERGE,15-Jan-18,-,-,-,1872.58
NIFTY SME EMERGE,12-Jan-18,-,-,-,1868.51
NIFTY SME EMERGE,11-Jan-18,-,-,-,1860.77
NIFTY SME EMERGE,10-Jan-18,-,-,-,1859.78
NIFTY SME EMERGE,09-Jan-18,-,-,-,1850.56
NIFTY SME EMERGE,08-Jan-18,-,-,-,1860.23
NIFTY SME EMERGE,05-Jan-18,-,-,-,1872.45
NIFTY SME EMERGE,04-Jan-18,-,-,-,1868.33
NIFTY SME EMERGE,03-Jan-18,-,-,-,1861.28
NIFTY SME EMERGE,02-Jan-18,-,-,-,1853.09
NIFTY SME EMERGE,01-Jan-18,-,-,-,1847.13
NIFTY SME EMERGE,29-Dec-17,-,-,-,1819.47
NIFTY SME EMERGE,28-Dec-17,-,-,-,1817.54
NIFTY SME EMERGE,27-Dec-17,-,-,-,1803.94
NIFTY SME EMERGE,26-Dec-17,-,-,-,1795.95
